"","lon","lat"
"263",-2.2426305,53.4807593
"264",-1.2506666,54.5508241
"265",-2.7044052,53.7632254
"266",-95.881671,36.063168
"267",28.2292712,-25.7478676
"268",-3.17909,51.481581
"269",-1.829833,52.4750743
"270",-3.1672365,55.9572641
"271",10.451526,51.165691
"272",-2.70309,53.763201
"273",-3.435973,55.378051
"274",-114.1631847,51.2441921
"275",-0.570409,51.23622
"276",-0.1277583,51.5073509
"277",-3.435973,55.378051
"278",0.5217254,51.2787075
"279",-0.2376744,51.8097823
"280",-81.3792365,28.5383355
"281",-95.2330859,29.459031
"282",-90.3401404,45.1385798
"283",-1.5490774,53.8007554
"284",-3.435973,55.378051
"285",-94.1873939,36.051643
"286",-99.9018131,43.9695148
"287",-75.294569,40.7749283
"288",-2.393083,53.871098
"289",-105.084423,40.5852602
"290",-2.393083,53.871098
"291",-3.3260904,52.6464249
"292",-2.9915726,53.4083714
"293",-1.1743197,52.3555177
"294",35.862285,33.854721
"295",-0.1277583,51.5073509
"296",-5.93012,54.597285
"297",121.0709982,14.6555922
"298",-0.1277583,51.5073509
"299",-0.1240577,51.4278711
"300",-1.5490774,53.8007554
"301",-1.470085,53.381129
"302",-3.435973,55.378051
"303",-2.0727839,53.7190281
"304",-94.930601,38.822155
"305",-95.8362079,36.0834438
"306",-1.5490774,53.8007554
"307",-74.0059728,40.7127753
"308",NA,NA
"309",0.262363,52.399539
"310",-73.567256,45.5016889
"311",-1.310142,51.059771
"312",-0.1277583,51.5073509
"313",-3.435973,55.378051
"314",-3.452151,56.071741
"315",-105.8700901,34.5199402
"316",-96.0054763,36.3511217
"317",-117.8311428,33.7174708
"318",-1.76261,53.8108176
"319",-105.7820674,39.5500507
"320",2.3522219,48.856614
"321",-1.4746186,52.9225301
"322",-0.0836931,51.4618946
"323",-0.4617075,50.9280143
"324",NA,NA
"325",-2.145066,57.031302
"326",-0.1277583,51.5073509
"327",-3.313106,52.512112
"328",-1.1743197,52.3555177
"329",-3.435973,55.378051
"330",-0.1277583,51.5073509
"331",-6.0793414,53.1491175
"332",-3.435973,55.378051
"333",-119.4179324,36.778261
"334",-95.712891,37.09024
"335",-3.999461,50.7772135
"336",-83.9207392,35.9606384
"337",-70.2408811,43.6414716
"338",-0.9781303,51.4542645
"339",-75.6951768,45.4198818
"340",-95.712891,37.09024
"341",-4.251806,55.864237
"342",-3.435973,55.378051
"343",-2.4282192,53.5768647
"344",-3.435973,55.378051
"345",-75.5790371,39.7271104
"346",-2.12882,52.586973
"347",-0.1277583,51.5073509
"348",-0.1277583,51.5073509
"349",-122.4194155,37.7749295
"350",-95.3698028,29.7604267
"351",-84.3879824,33.7489954
"352",3.3792057,6.5243793
"353",-73.9441579,40.6781784
"354",-2.58791,51.454513
"355",-1.1743197,52.3555177
"356",-2.480437,53.7488012
"357",-3.7837117,52.1306607
"358",NA,NA
"359",-0.1277583,51.5073509
"360",-0.4250984,52.0098065
"361",-1.829833,52.4750743
"362",-118.1937395,33.7700504
"363",-3.188267,55.953252
"364",-1.5490774,53.8007554
"365",-89.424092,43.0023146
"366",NA,NA
"367",NA,NA
"368",4.3517211,50.8503463
"369",0.8404537,52.3021105
"370",-0.1277583,51.5073509
"371",-0.1277583,51.5073509
"372",-0.279965,51.97018
"373",-1.584852,54.77525
"374",-0.0076589,51.4825766
"375",-73.0835582,44.8107132
"376",-80.8431267,35.2270869
"377",-122.293165,47.845864
"378",-105.084423,40.5852602
"379",-1.7797176,51.5557739
"380",-3.046099,55.836732
"381",-4.2026458,56.4906712
"382",-4.2026458,56.4906712
"383",-2.32049,53.648457
"384",-4.142093,57.487719
"385",-79.1525349,40.6214551
"386",-1.1743197,52.3555177
"387",NA,NA
"388",-6.4923145,54.7877149
"389",-95.712891,37.09024
"390",-2.2975979,53.4740922
"391",0.5217254,51.2787075
"392",-0.0173437,51.5901769
"393",-3.9369086,56.1165329
"394",138.252924,36.204824
"395",0.0586198,51.483462
"396",-95.712891,37.09024
"397",-4.2026458,56.4906712
"398",-86.1349019,40.2671941
"399",-3.1495175,56.2082078
"400",-3.188267,55.953252
"401",NA,NA
"402",151.9397233,-27.5474228
"403",-114.0708459,51.0486151
"404",-3.7839131,56.0018775
"405",-1.5490774,53.8007554
"406",-2.2426305,53.4807593
"407",-83.6874562,43.0125274
"408",-3.7837117,52.1306607
"409",-1.5490774,53.8007554
"410",-1.519693,52.406822
"411",-110.2880379,31.5540702
"412",-0.1277583,51.5073509
"413",-3.7839131,56.0018775
"414",-70.8967155,42.51954
"415",-3.391701,50.855229
"416",-118.2436849,34.0522342
"417",-1.890401,52.486243
"418",-1.265032,52.370878
"419",-70.7625532,43.0717552
"420",-122.4194155,37.7749295
"421",-0.1643306,51.6454177
"422",-105.084423,40.5852602
"423",-74.0059728,40.7127753
"424",-1.0708746,51.9869243
"425",-2.7245643,53.2967045
"426",-3.7837117,52.1306607
"427",-0.1277583,51.5073509
"428",-74.0059728,40.7127753
"429",-1.2464674,51.7612056
"430",1.169456,51.081397
"431",-2.6325074,53.5450645
"432",-72.5215009,41.7759301
"433",2.213749,46.227638
"434",-118.5155901,34.0356331
"435",-3.435973,55.378051
"436",-86.1349019,40.2671941
"437",-3.122933,56.127911
"438",-99.9018131,31.9685988
"439",NA,NA
"440",-3.8080783,53.0711149
"441",-99.9018131,31.9685988
"442",-96.8383659,32.952424
"443",-3.17909,51.481581
"444",-3.943646,51.62144
"445",-1.1743197,52.3555177
"446",114.276228,30.5906
"447",-2.6541002,53.7897081
"448",-95.6296461,37.0327112
"449",-71.0588801,42.3600825
"450",-3.0356748,53.8175053
"451",-1.5490774,53.8007554
"452",NA,NA
"453",-4.251806,55.864237
"454",-95.712891,37.09024
"455",-95.616657,37.0351603
"456",0.1218195,52.2052973
"457",-73.743859,45.4457991
"458",-1.7294445,53.8089342
"459",-1.1743197,52.3555177
"460",-4.058338,51.0781599
"461",-4.544851,52.1325069
"462",-95.712891,37.09024
"463",-3.999461,50.7772135
"464",25.7481511,61.92411
"465",-7.6310983,52.9391777
"466",-1.470085,53.381129
"467",-3.013726,53.202044
"468",-1.61778,54.978252
"469",-3.805476,51.656991
"470",-3.218894,54.108967
"471",-81.8661442,28.0582985
"472",NA,NA
"473",-1.7896135,53.8382402
"474",-3.5182756,58.5956193
"475",-109.7245785,40.9879345
"476",-1.1743197,52.3555177
"477",-3.435973,55.378051
"478",0.070062,51.3679705
"479",-1.2577263,51.7520209
"480",-0.2822148,53.6501443
"481",-79.9958864,40.4406248
"482",-2.708842,53.540987
"483",-77.6152225,37.5196734
"484",-2.2426305,53.4807593
"485",45.079162,23.885942
"486",-3.7837117,52.1306607
"487",0.7077123,51.5459269
"488",-4.2026458,56.4906712
"489",-86.1349019,40.2671941
"490",-118.781482,34.2694474
"491",-3.435973,55.378051
"492",-3.3821421,51.6858341
"493",-3.7837117,52.1306607
"494",-1.1581086,52.9547832
"495",-4.2263955,57.4595749
"496",-0.1277583,51.5073509
"497",-92.134609,36.624896
"498",-0.137163,50.82253
"499",-1.2464674,51.7612056
"500",-2.864968,54.074166
"501",-0.1020862,51.498224
"502",NA,NA
"503",15.2551187,54.5259614
"504",-1.0333573,53.9062233
"505",-7.6920536,53.1423672
"506",-105.2705456,40.0149856
"507",-0.1277583,51.5073509
"508",-2.323702,53.425561
"509",-3.218134,51.578829
"510",-1.890401,52.486243
"511",-2.8093014,53.8996099
"512",-94.8825243,40.3519854
"513",NA,NA
"514",-2.12882,52.586973
"515",-3.69316,51.528762
"516",-3.74922,40.463667
"517",-82.9987942,39.9611755
"518",-76.727745,39.9625984
"519",-1.0260101,52.5220893
"520",-0.75398,51.41604
"521",0.121817,52.205337
"522",-0.1277583,51.5073509
"523",-1.8811598,54.7294099
"524",1.1430872,52.0224939
"525",-3.530875,50.7155591
"526",-1.1743197,52.3555177
"527",-106.346771,56.130366
"528",-2.1113659,53.5409298
"529",-1.1743197,52.3555177
"530",-0.1277583,51.5073509
"531",18.4240553,-33.9248685
"532",-2.179404,53.002668
"533",-1.1743197,52.3555177
"534",-123.1207375,49.2827291
"535",NA,NA
"536",-78.8783689,42.8864468
"537",NA,NA
"538",-5.9596776,54.6186865
"539",34.3088255,31.3546763
"540",-4.660864,52.083703
"541",-3.999461,50.7772135
"542",-3.9810968,55.7832092
"543",-1.5490774,53.8007554
"544",-84.7694422,33.7109626
"545",-1.5412015,53.9915028
"546",-1.1743197,52.3555177
"547",-118.2436849,34.0522342
"548",-1.519693,52.406822
"549",9.1707858,47.6447397
"550",-3.435973,55.378051
"551",-0.2822148,53.6501443
"552",-0.1601246,52.9451889
"553",-98.4936282,29.4241219
"554",0.2494235,50.908596
"555",72.8776559,19.0759837
"556",4.469936,50.503887
"557",NA,NA
"558",-106.688559,35.177609
"559",-2.6541002,53.7897081
"560",-79.0192997,35.7595731
"561",-104.8213634,38.8338816
"562",-70.5235185,19.3892489
"563",-1.0923964,51.26654
"564",-95.881671,36.063168
"565",-4.177153,51.7294831
"566",0.080647,51.626281
"567",-1.1743197,52.3555177
"568",-1.1335613,51.5974177
"569",-77.297508,18.109581
"570",-87.4409718,46.2810556
"571",-95.8699802,36.0690315
"572",-0.5599501,51.3147593
"573",-0.5599501,51.3147593
"574",2.3522219,48.856614
"575",-74.0159118,40.7021143
"576",-4.2026458,56.4906712
"577",-2.3621781,51.3849873
"578",4.469936,50.503887
"579",-3e-06,51.255714
"580",NA,NA
"581",0.4690888,51.7343313
"582",28.2292712,-25.7478676
"583",-82.8001026,27.9658533
"584",-122.6764815,45.5230622
"585",-85.6023643,44.3148443
"586",-90.043944,30.0026162
"587",NA,NA
"588",-2.9915726,53.4083714
"589",-0.1277583,51.5073509
"590",-80.1373174,26.1224386
"591",-112.087302,33.48273
"592",-4.2026458,56.4906712
"593",28.0473051,-26.2041028
"594",-112.0740373,33.4483771
"595",-74.4056612,40.0583238
"596",-84.3879824,33.7489954
"597",-79.9310512,32.7764749
"598",-95.3698028,29.7604267
"599",-4.251806,55.864237
"600",-1.890401,52.486243
"601",-3.1771279,51.4855766
"602",-2.6541002,53.7897081
"603",NA,NA
"604",-116.0959902,44.9078246
"605",-1.1743197,52.3555177
"606",-5.0527125,50.2660471
"607",-3.17909,51.481581
"608",-4.543678,50.826636
"609",-0.399752,54.283113
"610",-51.92528,-14.235004
"611",-2.737095,53.456307
"612",NA,NA
"613",-73.567256,45.5016889
"614",-82.683333,42.25
"615",-76.6412712,39.0457549
"616",-0.1277583,51.5073509
"617",-2.9915726,53.4083714
"618",-0.205883,51.237276
"619",-4.251806,55.864237
"620",NA,NA
"621",-4.564554,55.945287
"622",22.0810942,38.2505451
"623",-70.4836644,41.7194232
"624",-79.866193,43.2626969
"625",-72.307869,43.7153482
"626",-80.1917902,25.7616798
"627",-74.0059728,40.7127753
"628",NA,NA
"629",-3.243612,51.6548905
"630",-0.1277583,51.5073509
"631",72.8776559,19.0759837
"632",-122.3953519,37.7810988
"633",-74.4056612,40.0583238
"634",144.2793906,-36.7570157
"635",-117.1610838,32.715738
"636",-95.6215504,36.3134223
"637",-2.7044052,53.7632254
"638",-114.0708459,51.0486151
"639",-15.310139,13.443182
"640",-1.829833,52.4750743
"641",-81.6943605,41.49932
"642",-6.044589,52.9808207
"643",-99.9018131,31.9685988
"644",-1.470085,53.381129
"645",-2.2405035,53.7892877
"646",-0.752615,51.2868939
"647",-81.5157535,27.6648274
"648",-71.1097335,42.3736158
"649",-78.4766781,38.0293059
"650",-77.5049863,37.3770935
"651",-0.1277583,51.5073509
"652",146.921099,-31.2532183
"653",-1.1743197,52.3555177
"654",6.9602786,50.937531
"655",-1.1743197,52.3555177
"656",-72.285215,18.971187
"657",1.728047,52.598233
"658",-1.376999,51.781605
"659",-97.396381,27.8005828
"660",-0.1601246,52.9451889
"661",-121.6957863,37.931868
"662",-0.1277583,51.5073509
"663",-119.4179324,36.778261
"664",-2.7044052,53.7632254
"665",-4.161014,51.108039
"666",-3.435973,55.378051
"667",-84.3640829,33.7589188
"668",-0.1277583,51.5073509
"669",-82.9000751,32.1656221
"670",-4.2026458,56.4906712
"671",-97.1080656,32.735687
"672",NA,NA
"673",7.398574,9.0764785
"674",-0.1354673,50.8241791
"675",-71.4774291,41.5800945
"676",-3.7837117,52.1306607
"677",-77.0469214,38.8048355
"678",-86.5804473,35.5174913
"679",-7.6920536,53.1423672
"680",-71.4041795,41.7335176
"681",12.4738871,42.4983757
"682",77.2090212,28.6139391
"683",-2.6541002,53.7897081
"684",18.4240553,-33.9248685
"685",0.0746767,5.8142836
"686",-92.2895948,34.7464809
"687",-89.3389244,44.1618785
"688",-2.254448,53.716743
"689",-3.7837117,52.1306607
"690",-95.9692588,36.1513461
"691",-3.530875,50.7155591
"692",-1.0923964,51.26654
"693",-0.1277583,51.5073509
"694",-1.1743197,52.3555177
"695",-122.6764815,45.5230622
"696",-99.9018131,31.9685988
"697",-3.188267,55.953252
"698",-74.0776417,40.7281575
"699",-94.6858998,46.729553
"700",-0.612808,51.185732
"701",-6.2603097,53.3498053
"702",-4.1769987,55.7643524
"703",-0.1872275,51.1091401
"704",-78.6568942,37.4315734
"705",-6.4633381,52.336916
"706",-3.435973,55.378051
"707",-1.2577263,51.7520209
"708",-2.1561,53.6097136
"709",-77.0368707,38.9071923
"710",-2.58791,51.454513
"711",-76.278228,36.7046225
"712",-1.2577263,51.7520209
"713",-112.0740373,33.4483771
"714",-2.5969501,53.3900441
"715",-2.5918601,53.3918202
"716",-0.1277583,51.5073509
"717",-1.24484,51.608044
"718",-3.3821421,51.6858341
"719",-95.712891,37.09024
"720",0.4368824,51.858068
"721",-1.6162709,6.6666004
"722",NA,NA
"723",-2.9436644,53.3976041
"724",3.3792057,6.5243793
"725",0.4690888,51.7343313
"726",37.906193,-0.023559
"727",-2.885057,53.568935
"728",-2.58791,51.454513
"729",-49.2647885,-16.6868824
"730",-1.603411,54.95268
"731",-81.4678193,28.4743207
"732",-2.2426305,53.4807593
"733",-95.881671,36.063168
"734",-2.6541002,53.7897081
"735",-4.1769987,55.7643524
"736",-95.4171601,30.0799405
"737",-81.8723084,26.640628
"738",-1.1743197,52.3555177
"739",-2.58791,51.454513
"740",-1.1743197,52.3555177
"741",-95.3698028,29.7604267
"742",-2.6325074,53.5450645
"743",-97.2649486,37.7206321
"744",-1.890401,52.486243
"745",-1.5490774,53.8007554
"746",-79.0558445,35.9131996
"747",-1.1612185,52.9410933
"748",-0.1277583,51.5073509
"749",-98.4936282,29.4241219
"750",-4.251806,55.864237
"751",18.643501,60.128161
"752",-1.1743197,52.3555177
"753",-1.3080629,51.0576948
"754",-2.9915726,53.4083714
"755",-2.0963614,53.4909243
"756",NA,NA
"757",25.48583,42.733883
"758",-6.044589,52.9808207
"759",-118.6439809,34.1973122
"760",-1.4043509,50.9097004
"761",-8.224454,39.399872
"762",-0.1277583,51.5073509
"763",45.079162,23.885942
"764",-82.9987942,39.9611755
"765",NA,NA
"766",-4.251806,55.864237
"767",-0.975134,54.58156
"768",1.297355,52.6308859
"769",-3.7837117,52.1306607
"770",-1.0923964,51.26654
"771",-0.190395,51.452655
"772",-0.1277583,51.5073509
"773",-0.1180655,51.6622925
"774",-0.1277583,51.5073509
"775",-2.9915726,53.4083714
"776",-1.1743197,52.3555177
"777",-1.4043509,50.9097004
"778",-90.1845388,35.1464797
"779",107.015727,-6.229683
"780",0.1536502,51.8721635
"781",-95.3698028,29.7604267
"782",-3.435973,55.378051
"783",-114.0708459,51.0486151
"784",-73.9441579,40.6781784
"785",-0.1277583,51.5073509
"786",-0.540579,53.230688
"787",-79.3831843,43.653226
"788",-97.3215582,37.6931823
"789",-118.2436849,34.0522342
"790",-6.4633381,52.336916
"791",-0.1277583,51.5073509
"792",-82.907123,40.4172871
"793",3.3792057,6.5243793
"794",NA,NA
"795",-2.1561,53.6097136
"796",-83.7952674,42.5447978
"797",-71.1097335,42.3736158
"798",-0.1277583,51.5073509
"799",133.775136,-25.274398
"800",-0.1277583,51.5073509
"801",-7.6920536,53.1423672
"802",-1.1743197,52.3555177
"803",NA,NA
"804",-99.9018131,31.9685988
"805",-94.172471,36.358598
"806",-3.0356748,53.8175053
"807",-1.1743197,52.3555177
"808",NA,NA
"809",-74.2090053,40.8259007
"810",-1.4746186,52.9225301
"811",-1.829833,52.4750743
"812",-74.0059728,40.7127753
"813",78.96288,20.593684
"814",-77.2002745,40.2010241
"815",-79.9737782,40.8429159
"816",-2.9915726,53.4083714
"817",0.4690888,51.7343313
"818",-3.435973,55.378051
"819",-105.084423,40.5852602
"820",0.8864021,52.6139686
"821",-3.435973,55.378051
"822",-0.1277583,51.5073509
"823",-1.1612185,52.9410933
"824",-101.0020119,47.5514926
"825",-81.6829431,31.8371948
"826",-91.1871466,30.4514677
"827",-73.9712488,40.7830603
"828",-88.267169,42.343439
"829",-95.8672239,36.0869
"830",-2.3599039,51.375801
"831",-1.5490774,53.8007554
"832",-3.435973,55.378051
"833",-74.0059728,40.7127753
"834",-1.339493,53.5029116
"835",-1.339898,53.129025
"836",-0.1277583,51.5073509
"837",-1.5490774,53.8007554
"838",NA,NA
"839",-3.435973,55.378051
"840",-1.7850351,53.645792
"841",0.4690888,51.7343313
"842",-118.5021527,34.2793576
"843",-1.829833,52.4750743
"844",-2.518597,52.703034
"845",-119.2986964,36.3309166
"846",-1.1581086,52.9547832
"847",-2.6103158,53.2326344
"848",-74.0120817,40.2203907
"849",-4.2026458,56.4906712
"850",-5.93012,54.597285
"851",NA,NA
"852",-118.3468303,34.1553065
"853",-1.1743197,52.3555177
"854",-74.1165313,40.9792645
"855",-1.1743197,52.3555177
"856",-97.4251324,35.2275467
"857",-95.712891,37.09024
"858",-74.0059728,40.7127753
"859",-95.712891,37.09024
"860",NA,NA
"861",-0.0760842,51.5037746
"862",-3.435973,55.378051
"863",4.8616901,51.6410202
"864",-2.2426305,53.4807593
"865",-0.1160526,51.5449765
"866",-0.1277583,51.5073509
"867",-74.0754189,40.9445428
"868",5.291266,52.132633
"869",-0.1277583,51.5073509
"870",-2.2426305,53.4807593
"871",-83.9207392,35.9606384
"872",-3.013726,53.202044
"873",3.876716,43.610769
"874",2.2111195,41.4204552
"875",-0.4617075,50.9280143
"876",-2.9915726,53.4083714
"877",-3.435973,55.378051
"878",151.2092955,-33.8688197
"879",32.4212424,34.8066794
"880",-2.2426305,53.4807593
"881",-3.8684751,57.586422
"882",-0.1277583,51.5073509
"883",-1.9927105,51.3491996
"884",-123.1207375,49.2827291
"885",-1.1743197,52.3555177
"886",-73.9441579,40.6781784
"887",-0.1303842,51.5168861
"888",-118.2548493,34.0483215
"889",-0.1281098,51.5105177
"890",-84.2700179,37.8393332
"891",-77.5318475,38.2907105
"892",-1.1743197,52.3555177
"893",-123.2620435,44.5645659
"894",-15.310139,13.443182
"895",-5.0527125,50.2660471
"896",-1.1743197,52.3555177
"897",-2.6541002,53.7897081
"898",-2.9915726,53.4083714
"899",-4.2026458,56.4906712
"900",-77.0368707,38.9071923
"901",-118.2922461,33.7360619
"902",-115.1398296,36.1699412
"903",-3.7227698,56.0097152
"904",-0.1528271,51.5146301
"905",-96.934164,32.950439
"906",-4.2026458,56.4906712
"907",-81.5157535,27.6648274
"908",0.0750107,51.7636696
"909",-1.427406,54.999424
"910",-1.519693,52.406822
"911",-1.4746557,52.4802884
"912",-76.7074571,37.2707022
"913",-122.196825,47.6160275
"914",-120.0323507,39.0968493
"915",-81.5940153,30.2537851
"916",-83.7430378,42.2808256
"917",-73.652536,41.475487
"918",-2.3599039,51.375801
"919",-118.0120086,33.9172357
"920",-5.93012,54.597285
"921",-1.5881933,54.7882162
"922",-93.097702,41.8780025
"923",-6.4923145,54.7877149
"924",-0.267382,51.336036
"925",-3.74922,40.463667
"926",NA,NA
"927",-2.7417849,52.7063657
"928",-4.2026458,56.4906712
"929",-2.7974835,54.5772323
